architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",False,0.6,84.40685153007506,"[0.8727891156462585, 0.92018140608491272, 0.91859410449761114, 0.94195011356790592, 0.92993197297833674]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",True,0.5,128.34591746330258,"[0.72108843467132844, 0.88367346863087071, 0.91564625831418023, 0.92947845780660232, 0.94489795842678914]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",True,0.6,99.90649199485779,"[0.70884353719871329, 0.83990929634933298, 0.87800453466082373, 0.89750566869095605, 0.90861677980206723]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",False,0.6,65.32695865631104,"[0.80317460268803464, 0.89047619053025362, 0.90090702923517374, 0.9024943311198228, 0.91587301538644739]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",True,0.4,125.61586594581604,"[0.78979591858359965, 0.85714285773755206, 0.86916099813790004, 0.87959183697797816, 0.886848072778611]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",True,0.4,112.56186199188231,"[0.77346938734962822, 0.87324263046658224, 0.90839002216213682, 0.92585034040637026, 0.93219954675557659]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",True,0.6,128.21010208129886,"[0.75986394579448402, 0.81247165559911405, 0.8292517007343353, 0.83469387779430471, 0.84172335611719662]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",False,0.5,89.32793760299683,"[0.8469387759156779, 0.88299319746813265, 0.89546485279693089, 0.89818594104308391, 0.9077097505668934]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",True,0.6,134.2454481124878,"[0.76394557869082946, 0.81564625877371721, 0.82721088462405734, 0.8426303859470653, 0.86054421795739067]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",False,0.6,96.44119930267334,"[0.55623582798877813, 0.65918367390189314, 0.69047619074650635, 0.68299319768438538, 0.70113378714541996]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",True,0.6,134.14782190322876,"[0.78730158773409264, 0.81269841310388646, 0.82811791426470494, 0.84557823156283285, 0.85782312984639553]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",False,0.6,87.26515913009644,"[0.78548752815545009, 0.85963718772204822, 0.88435374101003006, 0.89002267552070879, 0.90453514663540591]"
