architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",True,0.5,150.52591800689697,"[0.80907029478458048, 0.86916099792164736, 0.89387755139885039, 0.90884353760418712, 0.9331065761799715]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",False,0.4,88.73626756668091,"[0.83628117938160629, 0.89909297052154191, 0.92607709769488999, 0.93106575963718818, 0.94399092970521536]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",True,0.4,114.43863296508788,"[0.56281179141025151, 0.62585033989277017, 0.65487528337913303, 0.66439909291645838, 0.66417233527652797]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.5,132.49665474891665,"[0.59909297046747878, 0.65124716566803775, 0.66371882134824656, 0.69705215433016932, 0.70181405906504246]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",True,0.6,98.58360314369202,"[0.791609977135042, 0.85623582744814641, 0.87052154146354488, 0.88412698445136317, 0.88934240316858093]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",False,0.4,90.92555379867555,"[0.75532879845625689, 0.85736961348527141, 0.87777777804809365, 0.8870748291750884, 0.90816326557643834]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",False,0.6,127.45956802368164,"[0.87505668953162474, 0.92925170068027207, 0.94331065759637189, 0.96349206349206351, 0.96213151927437646]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",True,0.4,118.26994395256042,"[0.71451247176345511, 0.82199546490667086, 0.86916099729992091, 0.88866213130302174, 0.89999999951343146]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",True,0.5,117.8004252910614,"[0.78866213108676897, 0.85102040848764438, 0.87097505701372147, 0.90702947743084961, 0.90884353717168176]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",False,0.6,105.66215038299559,"[0.7820861675842008, 0.87233560042046099, 0.88231292549444706, 0.90181405874066345, 0.90362811772461116]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",False,0.5,133.61803269386292,"[0.83922902513253173, 0.91564625869262251, 0.92675736980373358, 0.93356009108139004, 0.94104308390022673]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",False,0.4,136.95916175842285,"[0.81768707482993197, 0.90045351473922908, 0.91020408182187418, 0.92290249433106575, 0.93809523809523809]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",False,0.5,123.4321060180664,"[0.68866213103270579, 0.84376417260591674, 0.90770975083720928, 0.93469387782133628, 0.94625850340136053]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",False,0.4,121.83693957328795,"[0.46802721131685909, 0.5825396823504615, 0.61428571358289308, 0.65782312935982701, 0.68208616709763226]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",True,0.6,183.43226265907288,"[0.85079365100990345, 0.87868480744545696, 0.90725623585469595, 0.91383219954648531, 0.91201814077879029]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",True,0.4,197.05394172668457,"[0.47074829945488583, 0.53764172330194593, 0.57074829942785421, 0.57868480739139372, 0.58117913843012181]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",True,0.4,160.48071575164798,"[0.72517006759470548, 0.85011337822527033, 0.87936507860819502, 0.90589569188029317, 0.9201814051388072]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",True,0.6,231.82006096839905,"[0.80929705253263717, 0.85895691647821548, 0.89024943329579709, 0.90839002286495807, 0.91269841307685484]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.6,149.42685461044314,"[0.8204081630490534, 0.88458049913652903, 0.90975056613653971, 0.91247165430159793, 0.92199546463635507]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",False,0.6,143.6873028278351,"[0.5306122450601487, 0.61927437657942308, 0.68662131481430155, 0.69297052140679216, 0.68684807215688448]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",True,0.5,178.15710401535034,"[0.76077097492153145, 0.81723355944194487, 0.84126984056702003, 0.84421768637200867, 0.85396825377903285]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",False,0.4,149.2260789871216,"[0.69750566920455626, 0.81950113302996375, 0.85147392214560991, 0.88231292517006799, 0.88752834494151767]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",True,0.5,209.34176230430603,"[0.61632653077443444, 0.73696145086872333, 0.77369614471924275, 0.81269841288763378, 0.81746031686562259]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",False,0.4,175.13854002952576,"[0.53560090719166797, 0.63242630412519119, 0.63990929729543844, 0.67777777821028318, 0.68231292522413123]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",False,0.5,159.05698585510254,"[0.44172335592797551, 0.54761904772717396, 0.61746031648718036, 0.67619047624453932, 0.67414965943144023]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",True,0.6,247.19923162460327,"[0.60022675731555131, 0.61224489828356266, 0.66689342436066024, 0.69206349206349205, 0.69523809553544269]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",False,0.5,173.88260078430176,"[0.80997732323583838, 0.86598639431453883, 0.88480725626285928, 0.9061224492499077, 0.90839002272980018]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.4,250.687335729599,"[0.55034013618957967, 0.62176870761815117, 0.65850340149570219, 0.68140589563754683, 0.67414966018832456]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.5,232.04221367835999,"[0.69750566879908249, 0.77755102024597378, 0.85646258484479254, 0.8650793651334282, 0.86394557801503979]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",True,0.6,280.8475227355957,"[0.48775510233816377, 0.56439909324083737, 0.5854875284527975, 0.59410430849814899, 0.61791383230767283]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",True,0.4,312.12019896507263,"[0.75918367368564044, 0.85646258522323471, 0.88390022697362225, 0.89954648547702365, 0.90839002308121075]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.4,230.2656283378601,"[0.3875283445630755, 0.49365079386704636, 0.5346938773077361, 0.55442176816685129, 0.58321995427008388]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",True,0.6,249.3048315048217,"[0.76712018151402206, 0.86439909194332132, 0.89569160973404005, 0.92018140589569164, 0.92154194962681013]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.4,245.53620219230652,"[0.52131519271673255, 0.59773242603353904, 0.63310657599075038, 0.67981859372586617, 0.69183673466684592]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",False,0.6,245.66398739814758,"[0.83560090654290997, 0.9024943310657596, 0.93424036308210723, 0.94353741523630219, 0.94693877551020411]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",False,0.5,241.873018026352,"[0.66235827629258037, 0.75192743753359703, 0.77981859372586615, 0.77346938780916519, 0.78594104259733166]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",True,0.5,260.41938519477844,"[0.73854875251008811, 0.78185941080928123, 0.83061224419513802, 0.84126984110765179, 0.86485260803412956]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",False,0.5,261.41720843315125,"[0.79999999975671576, 0.87165532777098576, 0.87913832180624374, 0.88866213076238998, 0.8959183668333387]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",False,0.4,276.5608191490173,"[0.67437641701730744, 0.83786848023905502, 0.89433106575963717, 0.91723355957710284, 0.93424036281179135]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",True,0.6,412.89515447616577,"[0.67324263054767708, 0.73900226787104362, 0.75328798212972625, 0.77482993243232601, 0.80113378725354634]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",False,0.5,323.3545246124268,"[0.55532879861844642, 0.63446712031656383, 0.64036281222388858, 0.68412698442433151, 0.69841269852082477]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",False,0.6,319.33110427856445,"[0.69523809553544269, 0.7405895694313136, 0.76258503414876333, 0.78526077127240412, 0.76757369646950369]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",True,0.6,385.0216648578644,"[0.76848072543436163, 0.81473922918713282, 0.83922902456486848, 0.84399092905645734, 0.84580498806743665]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",False,0.6,18.27439522743225,"[0.84376417260591674, 0.88934240389843378, 0.90975056689342404, 0.91995464852607711, 0.92312925170068028]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",False,0.5,18.90455365180969,"[0.82471655328798188, 0.87256235846586505, 0.90793650793650793, 0.90725623585469595, 0.90158730177652269]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",True,0.4,27.62434506416321,"[0.5346938774158625, 0.59614512439217426, 0.60430838994158098, 0.61791383190219906, 0.65736961443137687]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",False,0.4,22.34351396560669,"[0.70839002218916847, 0.84467120181405897, 0.91179138321995468, 0.93650793650793651, 0.94625850288776048]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",False,0.4,9.578855514526367,"[0.65510204076226342, 0.73832199557297895, 0.75328798088627336, 0.77596371836132472, 0.77777777734527243]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",False,0.4,9.77988266944885,"[0.79909297030528925, 0.86054421744379062, 0.89002267498007703, 0.88934240365514949, 0.90181405820003169]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",False,0.4,7.396401882171631,"[0.74104308395428997, 0.8351473920739968, 0.86530612225975845, 0.89569160976107154, 0.90521541977144959]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.4,32.52674889564514,"[0.53287981891848335, 0.61904761937199804, 0.64671201830277902, 0.66462585047529399, 0.68163265335857193]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",False,0.4,17.770497798919674,"[0.53628117973301681, 0.62358276671022517, 0.65918367387486154, 0.68321995508103139, 0.70090702942439487]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",True,0.6,22.761629581451416,"[0.74557823086001163, 0.80861678009941462, 0.83922902451080528, 0.85714285676441493, 0.86394557860973475]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",True,0.5,42.36690497398377,"[0.68480725626285921, 0.73628117886800615, 0.77641723320868006, 0.80022675699117229, 0.82562358238799771]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.4,9.248576164245604,"[0.71179138327401781, 0.83854875283446717, 0.88299319727891157, 0.89229024840590632, 0.9077097505668934]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",False,0.4,23.752218008041385,"[0.75124716507334288, 0.85464852532021318, 0.89705215419501139, 0.91383219954648531, 0.93356009018934771]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",False,0.5,10.675544977188109,"[0.67210884340225707, 0.74399092897536268, 0.76938775412890381, 0.76757369568558775, 0.8049886622396456]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",False,0.6,16.404059410095215,"[0.55691609990840052, 0.66167800480546324, 0.69297052148788696, 0.70090702942439487, 0.70566893440255229]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",False,0.6,22.514066457748413,"[0.8546485262663186, 0.90068027248728577, 0.89659863964500341, 0.93378684826178349, 0.92630385487528344]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",True,0.6,89.50091409683228,"[0.81859410468683225, 0.89750566952893518, 0.93015873053717235, 0.94081632671983328, 0.95351473922902497]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",True,0.6,29.549155473709106,"[0.46757369619918787, 0.55170068048836152, 0.58390022675736963, 0.58208616742201136, 0.6102040810379582]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",False,0.4,20.253626823425293,"[0.79705215316781108, 0.87800453439050796, 0.91791383219954648, 0.94693877551020411, 0.95238095238095233]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",True,0.5,28.89859676361084,"[0.72562358309081898, 0.81247165459894544, 0.83628117894910092, 0.86734693882957337, 0.85963718772204822]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",False,0.5,13.83961582183838,"[0.81224489774293096, 0.8621315190310922, 0.86984126989533306, 0.88798185865354651, 0.90340136081453348]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",True,0.4,62.34413886070252,"[0.39365079367782524, 0.51814059000166635, 0.61995464893155083, 0.66825396830803141, 0.70045351495548169]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",True,0.6,20.32003593444824,"[0.6197278916430311, 0.66099773231817749, 0.70385487544563619, 0.72426303822437377, 0.73242630434144385]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",True,0.4,39.11572933197022,"[0.76485260781787689, 0.81950113405716396, 0.83151927478189103, 0.84875283484556241, 0.85487528371702792]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",False,0.6,17.610761404037476,"[0.79750566871798767, 0.88458049867699207, 0.89206349182020783, 0.9031746029583505, 0.91111111062454253]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",True,0.6,34.881778955459595,"[0.77732426260604337, 0.8335600905677899, 0.8553287980778147, 0.8605442174978537, 0.86122448968779208]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",False,0.5,18.29592728614807,"[0.82494331017102784, 0.86984126989533306, 0.88662131521977539, 0.90657596323225231, 0.90090702899188957]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",True,0.6,27.430494785308838,"[0.76780045332551816, 0.84081632577372789, 0.88321995416195753, 0.89274376368576702, 0.89954648501748669]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",False,0.5,12.886940956115724,"[0.77936507860819504, 0.85873015824359022, 0.88412698391073141, 0.89682539606851241, 0.90181405820003169]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",True,0.6,28.104234457015988,"[0.74036281138590943, 0.78049886615908881, 0.80453514755447975, 0.82539682531573066, 0.84013605458395824]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",True,0.6,67.49465250968933,"[0.75374149654457634, 0.79931972813444074, 0.8022675737772399, 0.81043083927258341, 0.82403628161164366]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.4,23.40525531768799,"[0.81904761923684011, 0.85102040840654958, 0.89229024943310653, 0.89092970559386164, 0.89977324300882766]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",True,0.6,33.829067468643196,"[0.79229024954123295, 0.83854875272634077, 0.85691609988136896, 0.86394557809613459, 0.87006802707572639]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",True,0.6,50.37207221984863,"[0.68435374138847227, 0.76371882069948849, 0.78253968237749305, 0.8265306120827085, 0.83197278949408848]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",True,0.6,51.81761884689331,"[0.72517006845971621, 0.78934240346592843, 0.81519274362901439, 0.82244897997027888, 0.83310657582856085]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",False,0.4,27.02794933319092,"[0.81360544236609189, 0.87777777815621993, 0.9079365083149501, 0.91995464852607711, 0.92698412698412702]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",False,0.5,26.415058851242065,"[0.52131519247344837, 0.6253968253157306, 0.66689342363080739, 0.67301587266446239, 0.68117913791652174]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",True,0.4,32.402183294296265,"[0.68299319776548006, 0.75510204073523179, 0.77959183608593585, 0.78888888880779418, 0.81428571417758799]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",True,0.4,80.3726224899292,"[0.41678004535062918, 0.85419501133786846, 0.91179138321995468, 0.93401360544217682, 0.92902494331065755]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",False,0.5,30.882808208465576,"[0.80589569182623, 0.86961451268790801, 0.8965986398342245, 0.89115646280128669, 0.90929705237044767]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",False,0.5,26.637094974517822,"[0.71496598639455777, 0.82380952332295532, 0.86553287987265726, 0.88798185973480981, 0.9040816324638401]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",True,0.6,44.78266954421997,"[0.77188208611373732, 0.81156462582330857, 0.82675736956044932, 0.84761904724060544, 0.8335600905407583]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",False,0.4,35.996502876281745,"[0.80952380971303062, 0.88367346957697623, 0.91247165532879815, 0.92675736961451249, 0.93696145143638665]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",True,0.5,63.112991094589226,"[0.72086167795047196, 0.80385487587814153, 0.81360544228499709, 0.83628117957082737, 0.84625850345542375]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.6,22.607390880584717,"[0.70272108797583721, 0.80612244854708648, 0.85328798167018938, 0.85056689323481516, 0.869387755156104]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",False,0.6,28.087575197219852,"[0.78752834418463324, 0.86916099773242628, 0.91428571428571426, 0.92403628117913827, 0.93673469336395088]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",True,0.5,51.26554822921753,"[0.62380952359327113, 0.73310657563933979, 0.76780045367692873, 0.78798185930230447, 0.80770975072908291]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",False,0.4,33.31354475021362,"[0.66394557774472396, 0.77981859307710821, 0.84172335579281765, 0.85850340163086003, 0.88707482971572016]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",False,0.4,30.408358335494995,"[0.70839002270276852, 0.84172335552250177, 0.87256235806039129, 0.89931972791818804, 0.90634920637623795]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",False,0.5,38.559312343597405,"[0.56689342446878654, 0.6326530616569952, 0.66961451252571846, 0.70816326590081735, 0.70566893418629961]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",True,0.5,82.94554686546327,"[0.85419501152708954, 0.90907029497380154, 0.92743764191257705, 0.93265306141371085, 0.93696145143638665]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",False,0.5,41.21103644371033,"[0.82290249470950794, 0.8757369618567209, 0.90385487531047826, 0.90816326533315406, 0.91791383222657807]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",False,0.6,36.58512473106384,"[0.79002267579102459, 0.88163265257465595, 0.89705215346515854, 0.9151927432776038, 0.909070294298012]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",True,0.6,85.37211537361145,"[0.80793650717962351, 0.85306122373291149, 0.88095238073612825, 0.88911564577193491, 0.89092970532354587]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",True,0.4,123.45853519439696,"[0.064399092970521543, 0.7961451247165533, 0.91337868480725626, 0.92970521541950113, 0.94036281179138326]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",True,0.4,53.51691818237305,"[0.6723356007718716, 0.74217687039688873, 0.78616780083195692, 0.80204081643465697, 0.8163265307203712]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.5,73.20984244346619,"[0.59160997727019982, 0.64126984159422029, 0.66825396838912621, 0.68027210884353739, 0.69478458060699255]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",True,0.5,60.73389029502869,"[0.68639455744468703, 0.78367346933369197, 0.80861677999128834, 0.83151927399797509, 0.8478458053671043]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",False,0.5,52.24019956588745,"[0.54852607736782155, 0.62471655358532929, 0.66848072589389862, 0.68526077140756203, 0.68888888932139425]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",True,0.4,90.8371160030365,"[0.74693877594270941, 0.80045351479329219, 0.81473922924119602, 0.82018140616600743, 0.83945578252917785]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",True,0.4,54.750372409820564,"[0.53061224489795922, 0.60929705203255291, 0.66666666672072983, 0.67936507904070031, 0.69387755077712387]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",False,0.6,54.92741298675537,"[0.84739228922223286, 0.91496598536735763, 0.93129251727711859, 0.92925169992338774, 0.94920634920634916]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.5,53.00922179222107,"[0.78412698391073143, 0.87437641620635986, 0.90204081608324638, 0.90453514714900596, 0.92494331065759638]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",True,0.4,78.39585041999817,"[0.78458049864996049, 0.86303854856361339, 0.89682539660914418, 0.91315192770795761, 0.91882086194832036]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",False,0.5,57.9884831905365,"[0.5269841270111586, 0.62312925151145915, 0.65850340173898636, 0.68276643950382332, 0.69523809531919001]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",False,0.6,73.98904013633728,"[0.85555555582587139, 0.91814058983947688, 0.93854875283446715, 0.95192743764172338, 0.95374149659863949]"
